student_id,current_stage,current_course_or_class,age,gender,tenth_percentage,twelfth_or_diploma_percentage,graduation_percentage,math_score,programming_score,communication_score,logical_reasoning_score,creativity_score,leadership_score,teamwork_score,problem_solving_score,coding_interest,design_interest,data_interest,business_interest,security_interest,cloud_interest,preferred_work_type,preferred_subroles,preferred_domain,personality_type,certifications_count,project_count,internship_experience,favorite_subject,current_skills,target_career
ST0001,BCA,BCA,20,Male,64.72,65.3,60.69,8,4,8,3,4,5,7,6,2,4,3,2,1,4,Creative,"Frontend Design, Content Creation",Cloud,Leader,0,2,No,Web,"WordPress, Kubernetes, React",Cybersecurity Analyst
ST0002,Pursuing_BTech,BTech_IT,25,Female,66.39,66.41,0.0,4,5,10,3,6,4,9,6,2,1,4,5,2,4,Management,"Product Owner, Scrum Master",Cloud,Creative,4,1,No,Math,"Communication, Project Management, CRM",Cybersecurity Analyst
ST0003,BTech,BTech_ECE,26,Female,85.08,76.98,60.38,6,7,7,8,4,8,9,4,2,4,3,2,2,2,Creative,"UI Design, Visual Prototyping",AI-ML,Leader,4,3,No,Math,"PHP, Angular, React",Software Tester
ST0004,Pursuing_12th,Science,19,Female,82.87,0.0,0.0,6,9,8,4,7,5,6,10,2,5,1,2,5,5,Technical,"DevOps, App Development",Data,Creative,1,0,No,Math,"Project Management, Angular",Backend Developer
ST0005,10th,General,17,Male,70.99,0.0,0.0,5,5,8,6,5,7,8,3,4,1,1,4,1,3,Management,"Operations, Team Lead",Security,Logical,0,0,No,DBMS,"WordPress, PHP, Ethical Hacking",UI/UX Designer
ST0006,Pursuing_Diploma,Diploma_Mech,23,Male,76.02,66.52,0.0,3,3,10,3,9,6,8,3,1,4,2,3,3,4,Management,"Product Owner, Scrum Master",AI-ML,Creative,2,1,No,Web,"Math, Python, AWS",Full Stack Developer
ST0007,Diploma,Diploma_IT,26,Male,73.08,69.4,0.0,3,6,4,3,7,7,5,5,4,5,4,2,5,5,Creative,"UI Design, Content Creation",Security,Creative,0,2,No,Web,"Photoshop, Canva",UI/UX Designer
ST0008,BCA,BCA,21,Female,80.26,69.26,77.51,5,8,6,5,9,5,10,6,4,4,5,1,5,4,Creative,"Content Creation, Visual Prototyping",Web,Creative,1,1,No,Python,"AWS, Azure, Excel",DevOps Engineer
ST0009,12th,Arts,18,Female,73.78,69.08,0.0,6,8,6,4,8,8,6,6,5,5,2,4,3,1,Management,"Product Owner, Operations",AI-ML,Creative,0,2,No,Statistics,"Network Security, Angular, React",UI/UX Designer
ST0010,Pursuing_12th,Arts,18,Male,89.26,0.0,0.0,5,3,6,3,8,5,9,3,5,2,5,1,4,5,Management,"Product Owner, Operations",Security,Analytical,1,0,Yes,Networking,"Azure, Python, SQL",Business Analyst
ST0011,BTech,BTech_IT,26,Male,98.26,60.22,72.9,4,4,8,3,5,6,6,6,5,5,5,1,3,4,Creative,"Content Creation, Visual Prototyping",Cloud,Leader,0,1,Yes,Math,"Terraform, Pandas, Linux",Web Developer
ST0012,Graduate,BBA,23,Female,68.07,71.84,67.83,5,5,3,10,7,5,7,6,3,2,2,2,5,4,Creative,"Frontend Design, Content Creation",Cloud,Logical,0,3,No,Math,"AWS, Linux, Kubernetes, Wireshark",Backend Developer
ST0013,Pursuing_Diploma,Diploma_ECE,21,Male,86.73,63.37,0.0,4,8,7,7,4,3,8,5,3,2,2,2,3,4,Technical,"DevOps, System Admin",Cloud,Creative,1,1,No,DBMS,"Market Research, Project Management, CRM, Keras",Software Tester
ST0014,BTech,BTech_CSE,19,Female,75.8,81.31,89.07,4,6,8,6,5,8,6,3,2,4,3,1,5,4,Management,"Scrum Master, Product Owner",Data,Leader,3,3,No,Web,"WordPress, PHP",Software Tester
ST0015,Pursuing_12th,Science,19,Male,82.48,0.0,0.0,4,8,5,9,8,8,10,3,4,5,5,3,2,5,Management,"Product Owner, Operations",Security,Logical,0,3,No,Python,"TensorFlow, Wireshark, Linux, Cryptography",UI/UX Designer
ST0016,Pursuing_BTech,BTech_IT,26,Male,69.43,92.54,0.0,8,5,7,8,3,3,10,7,4,4,2,2,4,2,Analytical,"Quality Assurance, Market Research",Security,Analytical,3,1,No,Python,"Figma, Photoshop, Adobe XD, SQL",ML Engineer
ST0017,BTech,BTech_Civil,22,Male,83.81,79.65,74.89,6,8,8,5,7,8,10,9,5,1,2,4,3,5,Analytical,"Quality Assurance, Data Analysis",Data,Leader,1,2,No,Math,"PowerBI, Cryptography, Network Security",Business Analyst
ST0018,Graduate,BTech_IT,26,Female,86.12,66.46,69.0,5,8,8,8,4,5,7,8,4,5,1,2,4,3,Management,"Operations, Team Lead",AI-ML,Analytical,2,0,No,Web,"HTML, CSS, Angular, Communication",DevOps Engineer
ST0019,Graduate,BCom,24,Female,83.95,68.34,59.6,4,3,8,5,3,8,4,6,5,4,4,3,1,4,Analytical,"Risk Assessment, Quality Assurance",AI-ML,Leader,1,2,No,UI Design,"HTML, CSS, PHP, SQL",Software Tester
ST0020,Graduate,BCom,24,Male,89.61,55.7,64.14,7,4,8,8,10,7,4,3,4,2,1,5,3,5,Management,"Operations, Scrum Master",Cloud,Creative,0,4,Yes,Networking,"Communication, CRM, Linux, Agile",Database Administrator
ST0021,Pursuing_Diploma,Diploma_Mech,21,Male,65.38,78.91,0.0,3,4,5,6,5,7,6,8,2,1,1,2,2,2,Creative,"UI Design, Visual Prototyping",Data,Leader,3,1,No,DBMS,"JavaScript, Linux, Wireshark, Ethical Hacking",Software Tester
ST0022,Diploma,Diploma_ECE,19,Male,86.53,100.0,0.0,8,7,6,5,6,5,10,6,5,1,1,1,5,4,Technical,"DevOps, App Development",AI-ML,Analytical,1,1,No,Python,"WordPress, PHP, Angular, Keras",Backend Developer
ST0023,BTech,BTech_ECE,23,Male,69.16,86.09,94.18,8,4,7,6,8,5,10,4,4,5,1,5,1,2,Creative,"Visual Prototyping, UI Design",Security,Logical,1,4,Yes,Networking,"Terraform, Market Research, Linux, Kubernetes",Software Tester
ST0024,Pursuing_Diploma,Diploma_ECE,20,Other,80.15,63.26,0.0,3,6,8,7,7,4,10,4,1,1,3,4,5,5,Technical,"Software Engineering, System Admin",Security,Leader,2,1,No,Python,"AWS, Cryptography, Ethical Hacking",Cloud Engineer
ST0025,BTech,BTech_Civil,19,Female,81.1,86.42,60.93,7,4,5,5,8,8,5,8,4,5,3,5,1,3,Management,"Team Lead, Operations",Data,Analytical,3,2,Yes,Python,"Python, Adobe XD",ML Engineer
ST0026,BTech,BTech_IT,24,Female,84.6,55.2,89.91,3,7,5,6,6,4,6,9,3,3,3,1,2,4,Technical,"App Development, Software Engineering",Cloud,Leader,1,1,No,DBMS,"Communication, JavaScript, CRM, Market Research",Database Administrator
ST0027,Graduate,BCom,26,Female,82.15,68.83,67.19,4,5,5,8,7,3,8,9,3,5,1,2,1,5,Technical,"Software Engineering, DevOps",AI-ML,Leader,2,1,Yes,Networking,"HTML, Canva",Database Administrator
